ticker,quarter,confidence_score,optimism_score,hedging_count,eps_surprise,stock_reaction,integrity_gap
COIN,Q1 2026,10.0,10.0,1,-3.43,-7.9,9.0
WRLD,Q1 2026,10.0,10.0,2,-1.12,-17.58,7.02
PYPL,Q1 2026,10.0,10.0,0,-0.06,-20.31,4.63
FLYW,Q3 2025,10.0,9.0,4,-0.05,0.48,4.61
PGY,Q3 2025,10.0,8.0,4,-0.03,-2.36,4.57
RM,Q4 2025,10.0,10.0,0,-0.01,3.63,4.52
HOOD,Q2 2026,10.0,10.0,0,-0.01,-2.24,4.52
RELY,Q4 2025,10.0,10.0,0,0.0,1.61,4.5
SOFI,Q2 2026,10.0,10.0,0,0.0,-2.13,4.5
FLYW,Q1 2026,10.0,10.0,1,0.0,5.64,4.5
